TIME,CH0,CH1,CH2
0:00:00,0.012,0.7999,0.012
0:00:00,0.06,0.9991,0.0598
0:00:00,0.1098,0.997,0.1091
0:00:00,0.1593,0.9937,0.1572
0:00:00,0.2084,0.9892,0.2038
0:00:00,0.2571,0.9834,0.2483
0:00:00,0.305,0.9765,0.2904
0:00:00,0.3522,0.9684,0.3296
0:00:00,0.3986,0.9591,0.3654
0:00:00,0.4439,0.9486,0.3976
0:00:00,0.4881,0.9369,0.4259
0:00:00,0.5311,0.9241,0.4499
0:00:00,0.5728,0.9102,0.4694
0:00:00,0.6131,0.8951,0.4842
0:00:00,0.6518,0.879,0.4941
0:00:00,0.6889,0.8618,0.4992
0:00:00,0.7242,0.8435,0.4992
0:00:00,0.7578,0.8242,0.4942
0:00:00,0.7894,0.8038,0.4844
0:00:00,0.8191,0.7825,0.4696
0:00:01,0.8467,0.7603,0.4502
0:00:01,0.8723,0.7371,0.4263
0:00:01,0.8956,0.713,0.3981
0:00:01,0.9167,0.688,0.366
0:00:01,0.9355,0.6622,0.3302
0:00:01,0.952,0.6356,0.291
0:00:01,0.9661,0.6082,0.249
0:00:01,0.9778,0.58,0.2045
0:00:01,0.987,0.5512,0.158
0:00:01,0.9938,0.5216,0.1098
0:00:01,0.9981,0.4915,0.0606
0:00:01,0.9998,0.4607,0.0108
0:00:01,0.9991,0.4294,-0.0391
0:00:01,0.9959,0.3975,-0.0887
0:00:01,0.9902,0.3651,-0.1374
0:00:01,0.9821,0.3323,-0.1846
0:00:01,0.9714,0.2991,-0.2301
0:00:01,0.9584,0.2656,-0.2732
0:00:01,0.9429,0.2317,-0.3137
0:00:01,0.9251,0.1975,-0.3509
0:00:02,0.905,0.1631,-0.3847
0:00:02,0.8826,0.1284,-0.4146
0:00:02,0.858,0.0937,-0.4404
0:00:02,0.8313,0.0588,-0.4618
0:00:02,0.8025,0.0238,-0.4786
0:00:02,0.7717,-0.0112,-0.4906
0:00:02,0.7389,-0.0462,-0.4977
0:00:02,0.7043,-0.0811,-0.4998
0:00:02,0.668,-0.1159,-0.4969
0:00:02,0.63,-0.1506,-0.4891
0:00:02,0.5904,-0.1851,-0.4763
0:00:02,0.5493,-0.2194,-0.4589
0:00:02,0.5069,-0.2534,-0.4368
0:00:02,0.4631,-0.2871,-0.4103
0:00:02,0.4183,-0.3204,-0.3798
0:00:02,0.3724,-0.3534,-0.3455
0:00:02,0.3255,-0.3859,-0.3077
0:00:02,0.2779,-0.4179,-0.2668
0:00:02,0.2295,-0.4495,-0.2233
0:00:02,0.1806,-0.4805,-0.1776
0:00:03,0.1312,-0.5109,-0.13
0:00:03,0.0815,-0.5406,-0.0812
0:00:03,0.0316,-0.5697,-0.0316
0:00:03,-0.0184,-0.5981,0.0184
0:00:03,-0.0683,-0.6258,0.0682
0:00:03,-0.1181,-0.6527,0.1173
0:00:03,-0.1676,-0.6788,0.1652
0:00:03,-0.2167,-0.7041,0.2114
0:00:03,-0.2652,-0.7285,0.2556
0:00:03,-0.313,-0.752,0.2972
0:00:03,-0.3601,-0.7746,0.3358
0:00:03,-0.4063,-0.7963,0.3711
0:00:03,-0.4514,-0.817,0.4027
0:00:03,-0.4954,-0.8366,0.4302
0:00:03,-0.5382,-0.8553,0.4535
0:00:03,-0.5797,-0.8729,0.4722
0:00:03,-0.6197,-0.8894,0.4862
0:00:03,-0.6581,-0.9049,0.4953
0:00:03,-0.6949,-0.9192,0.4995
0:00:03,-0.73,-0.9324,0.4987
0:00:04,-0.7632,-0.9445,0.4929
0:00:04,-0.7946,-0.9554,0.4822
0:00:04,-0.8239,-0.9652,0.4667
0:00:04,-0.8512,-0.9737,0.4465
0:00:04,-0.3176,-0.5144,-0.301
0:00:04,-0.2698,-0.4841,-0.2597
0:00:04,-0.2213,-0.4532,-0.2158
0:00:04,-0.1723,-0.4217,-0.1697
0:00:04,-0.1229,-0.3898,-0.1219
0:00:04,-0.0731,-0.3573,-0.0729
0:00:04,-0.0232,-0.3244,-0.0232
0:00:04,0.0268,-0.2911,0.0268
0:00:04,0.0767,-0.2574,0.0765
0:00:04,0.1265,-0.2235,0.1254
0:00:04,0.1759,-0.1892,0.1731
0:00:04,0.2249,-0.1548,0.219
0:00:04,0.2733,-0.1201,0.2628
0:00:04,0.321,-0.0853,0.3039
0:00:04,0.3679,-0.0504,0.342
0:00:04,0.4139,-0.0154,0.3767
0:00:05,0.4589,0.0196,0.4076
0:00:05,0.5027,0.0546,0.4344
0:00:05,0.5453,0.0895,0.4569
0:00:05,0.5865,0.1243,0.4749
0:00:05,0.6263,0.1589,0.4881
0:00:05,0.6644,0.1934,0.4964
